das,iggrixd,iggrind,iggrijd,realprec,et0,hCritA,GWL,xdcTop,ndcTop,jdcTop,xdkc,ndkc,jdkc,xdpet,ndpet,jdpet,渗漏量,籼稻生育期,糯稻生育期,粳稻生育期,籼稻田间水层,糯稻田间水层,粳稻田间水层,xdprec,ndprec,jdprec
53,,,,0.07,2.494871811,100000,66.9585986,0,0,0,1.17,1.135714286,1.133333333,0.291900002,0.283346156,0.282752138,0.4,拔节期,拔节期,拔节期,9.726250249,9.859827489,9.856334311,0.07,0.07,0.07
54,,,,0.39,1.838122076,100000,71.2976226,0,0,0,1.175,1.139285714,1.136666667,0.215979344,0.209414622,0.208933209,0.4,拔节期,拔节期,拔节期,9.500270905,9.640412867,9.637401102,0.39,0.39,0.39
55,,,,1.62,3.301203358,100000,75.756111,0,0,0,1.18,1.142857143,1.14,0.389541996,0.377280384,0.376337183,0.4,拔节期,拔节期,拔节期,10.33072891,10.48313248,10.48106392,1.62,1.62,1.62
56,,,,0,4.727173728,100000,80.2065697,0,0,0,1.185,1.146428571,1.143333333,0.560170087,0.541936702,0.540473529,0.4,拔节期,拔节期,拔节期,9.370558822,9.541195781,9.54059039,0,0,0
57,,,,0,4.152127974,100000,84.5215048,0,0,0,1.19,1.15,1.146666667,0.494103229,0.477494717,0.476110674,0.4,拔节期,拔节期,拔节期,8.476455593,8.663701064,8.664479715,0,0,0
58,,,,0.09,2.305471113,100000,88.5734223,0,0,0,1.195,1.153571429,1.15,0.275503798,0.265952561,0.265129178,0.4,拔节期,拔节期,拔节期,7.890951795,8.087748503,8.089350537,0.09,0.09,0.09
59,,,,1.18,1.988822415,100000,92.234828,0,0,0,1.2,1.157142857,1.153333333,0.23865869,0.230135165,0.229377518,0.4,孕穗期,拔节期,拔节期,8.432293105,8.637613338,8.639973019,1.18,1.18,1.18
60,,,,0.01,2.343046443,100000,95.3782279,0,0,0,1.2,1.160714286,1.156666667,0.281165573,0.271960748,0.271012372,0.4,孕穗期,拔节期,拔节期,7.761127532,7.97565259,7.978960647,0.01,0.01,0.01
61,,,,0.85,2.826225315,100000,97.8761281,0,0,0,1.2,1.164285714,1.16,0.339147038,0.329053376,0.327842137,0.4,孕穗期,拔节期,拔节期,7.871980494,8.096599214,8.10111851,0.85,0.85,0.85
62,,,,0.12,2.562579188,100000,99.6010344,0,0,0,1.2,1.167857143,1.163333333,0.307509503,0.299272641,0.298113379,0.4,孕穗期,拔节期,拔节期,7.284470991,7.517326573,7.523005132,0.12,0.12,0.12
63,,,,0,3.241901676,100000,100.4254528,0,0,0,1.2,1.171428571,1.166666667,0.389028201,0.379765625,0.378221862,0.4,孕穗期,拔节期,拔节期,6.49544279,6.737560948,6.744783269,0,0,0
64,,,,0.11,4.603132769,100000,100.2218894,0,0,0,1.2,1.175,1.17,0.552375932,0.5408681,0.538566534,0.4,抽穗期,拔节期,拔节期,5.653066858,5.906692848,5.916216735,0.11,0.11,0.11
65,,,,0.74,3.848959922,100000,98.9094294,0,0,0,1.2,1.178571429,1.173333333,0.461875191,0.45362742,0.451611297,0.4,抽穗期,拔节期,拔节期,5.531191667,5.793065428,5.804605438,0.74,0.74,0.74
66,,,,0,6.262030792,100000,96.5934757,0,0,0,1.2,1.182142857,1.176666667,0.751443695,0.740261497,0.73683229,0.4,抽穗期,拔节期,拔节期,4.379747972,4.652803931,4.667773148,0,0,0
67,,,,0,4.502743224,100000,93.4260106,0,0,0,1.2,1.185714286,1.18,0.540329187,0.533896697,0.5313237,0.4,抽穗期,拔节期,拔节期,3.439418785,3.718907235,3.736449447,0,0,0
68,,1,1,0.02,3.115514075,100000,89.5590163,0,0,0,1.2,1.189285714,1.183333333,0.373861689,0.370523638,0.368669165,0.4,抽穗期,拔节期,拔节期,2.685557096,3.968383596,3.987780282,0.02,1.02,1.02
69,2,,,0,3.313409859,100000,85.1444751,0,0,0,1.2,1.192857143,1.186666667,0.397609183,0.395242462,0.393191303,0.4,抽穗期,拔节期,拔节期,3.887947913,3.173141135,3.194588979,2,0,0
70,,,,0.97,2.275375913,100000,80.3343692,0,0,0,1.2,1.196428571,1.19,0.27304511,0.272232475,0.270769734,0.4,扬花期,拔节期,拔节期,4.184902804,3.470908659,3.493819245,0.97,0.97,0.97
71,,,,2.1,1.935610201,100000,75.2806809,0,0,0,1.2,1.2,1.193333333,0.232273224,0.232273224,0.230982817,0.4,扬花期,孕穗期,拔节期,5.65262958,4.938635435,4.962836428,2.1,2.1,2.1
72,-3,,,7.55,1.989333676,100000,70.1353925,0,0,0,1.2,1.2,1.196666667,0.238720041,0.238720041,0.23805693,0.4,扬花期,孕穗期,拔节期,9.563909539,11.84991539,11.8747795,4.55,7.55,7.55
73,,,,0.29,2.828977848,100000,65.0504862,0,0,0,1.2,1.2,1.2,0.339477342,0.339477342,0.339477342,0.4,扬花期,孕穗期,孕穗期,9.114432197,11.40043805,11.42530216,0.29,0.29,0.29
74,,,,0.04,2.73465378,100000,60.1779442,0,0,0,1.2,1.2,1.2,0.328158454,0.328158454,0.328158454,0.4,扬花期,孕穗期,孕穗期,8.426273743,10.7122796,10.7371437,0.04,0.04,0.04
75,,,,0,4.623416817,100000,55.6697488,0,0,0,1.2,1.2,1.2,0.554810018,0.554810018,0.554810018,0.4,灌浆期,孕穗期,孕穗期,7.471463725,9.757469581,9.782333684,0,0,0
76,,,,0,6.054550015,100000,51.6778823,0,0,0,1.187878788,1.2,1.2,0.719207153,0.726546002,0.726546002,0.4,灌浆期,孕穗期,孕穗期,6.352256572,8.630923579,8.655787682,0,0,0
77,,,,0,3.019034423,100000,48.3543269,0,0,0,1.175757576,1.2,1.2,0.35496526,0.362284131,0.362284131,0.4,灌浆期,孕穗期,孕穗期,5.597291312,7.868639448,7.893503552,0,0,0
78,,,,0,5.949218951,100000,45.8510648,0,0,0,1.163636364,1.2,1.2,0.692272751,0.713906274,0.713906274,0.4,灌浆期,孕穗期,孕穗期,4.505018561,6.754733174,6.779597277,0,0,0
79,,,,0,6.106880897,100000,44.3200784,0,0,0,1.151515152,1.2,1.2,0.703216588,0.732825708,0.732825708,0.4,灌浆期,扬花期,孕穗期,3.401801973,5.621907466,5.64677157,0,0,0
80,,,,0,6.151658412,100000,43.8647947,0,0,0,1.139393939,1.2,1.2,0.700916231,0.738199009,0.738199009,0.4,灌浆期,扬花期,扬花期,2.300885742,4.483708457,4.50857256,0,0,0
81,,,,0,6.108684596,100000,44.3944202,0,0,0,1.127272727,1.2,1.2,0.688615354,0.733042152,0.733042152,0.4,灌浆期,扬花期,扬花期,1.212270388,3.350666305,3.375530409,0,0,0
82,1,,,0,5.711966535,100000,45.7696063,0,0,0,1.115151515,1.2,1.2,0.636970814,0.685435984,0.685435984,0.4,灌浆期,扬花期,扬花期,1.175299574,2.265230321,2.290094425,1,0,0
83,2,,,0.08,4.828043614,100000,47.8510041,0,0,0,1.103030303,1.2,1.2,0.532547841,0.579365234,0.579365234,0.4,灌浆期,扬花期,扬花期,2.322751733,1.365865088,1.390729191,2.08,0.08,0.08
84,,2,2,0.07,2.839735985,100000,50.4992652,0,0,0,1.090909091,1.2,1.2,0.30978938,0.340768318,0.340768318,0.4,灌浆期,扬花期,扬花期,1.682962353,2.695096769,2.719960873,0.07,2.07,2.07
85,1.5,,,0,4.537745008,100000,53.5750407,0,0,0,1.078787879,1.2,1.2,0.489526431,0.544529401,0.544529401,0.4,灌浆期,扬花期,扬花期,2.293435921,1.750567368,1.775431472,1.5,0,0
86,,2,2,0,5.004813714,100000,56.938982,0,0,0,1.066666667,1.2,1.2,0.533846796,0.600577646,0.600577646,0.4,灌浆期,扬花期,扬花期,1.359589125,2.749989723,2.774853826,0,2,2
87,2,,,0,5.562199166,100000,60.4517405,0,0,0,1.054545455,1.2,1.2,0.586559185,0.6674639,0.6674639,0.4,灌浆期,灌浆期,扬花期,2.37302994,1.682525823,1.707389926,2,0,0
88,-4,,,6.72,3.599236797,100000,63.9739674,0,0,0,1.042424242,1.193333333,1.2,0.375193169,0.429508924,0.431908416,0.4,灌浆期,灌浆期,灌浆期,4.317836771,7.573016898,7.595481511,2.72,6.72,6.72
89,-1,,,3.13,2.165744984,100000,67.3663141,0,0,0,1.03030303,1.186666667,1.193220339,0.223137362,0.257001738,0.258421096,0.4,灌浆期,灌浆期,灌浆期,5.824699409,10.04601516,10.06706041,2.13,3.13,3.13
90,,,,0.1,2.612035023,100000,70.4894319,0,0,0,1.018181818,1.18,1.186440678,0.265952657,0.308220133,0.30990246,0.4,灌浆期,灌浆期,灌浆期,5.258746752,9.437795028,9.457157954,0.1,0.1,0.1
91,,,,0,2.075441368,100000,73.2039721,0,0,0,1.006060606,1.173333333,1.179661017,0.20880198,0.243518454,0.244831728,0.4,灌浆期,灌浆期,灌浆期,4.649944772,8.794276574,8.812326226,0,0,0
92,,,,0.22,2.08110126,100000,75.3705861,0,0,0,0.993939394,1.166666667,1.172881356,0.206848853,0.242795147,0.244088487,0.4,灌浆期,灌浆期,灌浆期,4.26309592,8.371481427,8.38823774,0.22,0.22,0.22
93,,,,0.05,2.699406304,100000,76.8499251,0,0,0,0.981818182,1.16,1.166101695,0.265032619,0.313131131,0.314778227,0.4,灌浆期,灌浆期,灌浆期,3.648063301,7.708350296,7.723459513,0.05,0.05,0.05
94,,,,0,4.119400704,100000,77.5026405,0,0,0,0.96969697,1.153333333,1.159322034,0.399457038,0.475104214,0.4775712,0.4,灌浆期,灌浆期,灌浆期,2.848606263,6.833246081,6.845888313,0,0,0
95,,,,1.39,2.376108549,100000,77.1893836,0,0,0,0.957575758,1.146666667,1.152542373,0.227530395,0.272460447,0.273856579,0.4,灌浆期,灌浆期,灌浆期,3.611075868,7.550785634,7.562031734,1.39,1.39,1.39
96,,,,0.03,3.360076177,100000,75.8295726,0,0,0,0.945454545,1.14,1.145762712,0.317679929,0.383048684,0.384984999,0.4,灌浆期,灌浆期,灌浆期,2.923395939,6.79773695,6.807046735,0.03,0.03,0.03
97,,,,0,4.640885623,100000,73.5776931,0,0,0,0.933333333,1.133333333,1.138983051,0.433149325,0.525967037,0.528589007,0.4,灌浆期,灌浆期,灌浆期,2.090246614,5.871769913,5.878457728,0,0,0
98,,,,0.04,4.749529298,100000,70.6469977,0,0,0,0.921212121,1.126666667,1.13220339,0.437532396,0.535113634,0.537743317,0.4,灌浆期,灌浆期,灌浆期,1.292714219,4.976656279,4.980714411,0.04,0.04,0.04
99,,,,0,5.052333757,100000,67.2507389,0,0,0,0.909090909,1.12,1.125423729,0.459303069,0.565861381,0.56860163,0.4,灌浆期,灌浆期,灌浆期,0.43341115,4.010794898,4.012112781,0,0,0
100,,,,0,4.3761185,100000,63.6021692,0,0,0,0.896969697,1.113333333,1.118644068,0.392524568,0.487207859,0.4895319,0.4,灌浆期,灌浆期,灌浆期,-0.359113419,3.123587038,3.122580881,0,0,0
101,,,,0,4.473957945,100000,59.9145411,0,0,0,0.884848485,1.106666667,1.111864407,0.395877491,0.495118013,0.49744346,0.4,灌浆期,灌浆期,灌浆期,-1.15499091,2.228469026,2.225137422,0,0,0
102,,,,0,4.499741306,100000,56.4011071,0,0,0,0.872727273,1.1,1.105084746,0.392704696,0.494971544,0.497259548,0.4,灌浆期,灌浆期,灌浆期,-1.947695605,1.333497482,1.327877874,0,0,0
103,,1,1,0,4.15628957,100000,53.2751198,0,0,0,0.860606061,1.093333333,1.098305085,0.357692799,0.454420993,0.456487397,0.4,灌浆期,灌浆期,灌浆期,-2.705388405,1.479076489,1.471390477,0,1,1
104,,,,3.05,1.791699536,100000,50.7498316,0,0,0,0.848484848,1.086666667,1.091525424,0.152022991,0.194698016,0.19556856,0.4,灌浆期,灌浆期,灌浆期,-0.207411396,3.934378473,3.925821917,3.05,3.05,3.05
105,,,,0.35,2.268629493,100000,49.0384951,0,0,0,0.836363636,1.08,1.084745763,0.189739921,0.245011985,0.246088623,0.4,灌浆期,灌浆期,灌浆期,-0.447151317,3.639366488,3.629733294,0.35,0.35,0.35
106,,,,0,2.883066941,100000,48.3543628,0,0,0,0.824242424,1.073333333,1.077966102,0.237634608,0.309449185,0.310784843,0.4,灌浆期,灌浆期,灌浆期,-1.084785925,2.929917303,2.918948451,0,0,0
107,,,,0,2.701259222,100000,48.9106873,0,0,0,0.812121212,1.066666667,1.071186441,0.219374991,0.288134317,0.289355225,0.4,灌浆期,灌浆期,灌浆期,-1.704160917,2.241782986,2.229593226,0,0,0
108,,,,0,2.549900228,100000,50.920721,0,0,0,0.8,1.06,1.06440678,0.203992018,0.270289424,0.271413109,0.4,成熟,灌浆期,灌浆期,-2.308152935,1.571493561,1.558180117,0,0,0
109,,,,0.02,1.704412424,100000,54.5977164,0,0,0,,1.053333333,1.057627119,0,0.179531442,0.18026328,0.4,,灌浆期,灌浆期,-2.688152935,1.011962119,0.997916837,0.02,0.02,0.02
110,,1,1,0,3.180774216,100000,60.1549261,0,0,0,,1.046666667,1.050847458,0,0.332921035,0.33425085,0.4,,灌浆期,灌浆期,-3.088152935,1.279041085,1.263665987,0,1,1
111,,,,1.98,1.653532,100000,67.7229796,0,0,0,,1.04,1.044067797,0,0.171967328,0.172639951,0.4,,灌浆期,灌浆期,-1.508152935,2.687073757,2.671026035,1.98,1.98,1.98
112,,,,0.01,3.164045067,100000,77.1020146,0,0,0,,1.033333333,1.037288136,0,0.326951324,0.328202641,0.4,,灌浆期,灌浆期,-1.898152935,1.970122433,1.952823394,0.01,0.01,0.01
113,,,,0,3.492413654,100000,88.0095456,0,0,0,,1.026666667,1.030508475,0,0.358554469,0.359896187,0.4,,灌浆期,灌浆期,-2.298152935,1.211567965,1.192927207,0,0,0
114,,2,2,0,2.929657604,100000,100.1630873,0,0,0,,1.02,1.023728814,0,0.298825076,0.29991749,0.4,,灌浆期,灌浆期,-2.698152935,2.512742889,2.493009717,0,2,2
115,,,,0,2.071184529,100000,113.2801544,0,0,0,,1.013333333,1.016949153,0,0.209880032,0.210628935,0.4,,灌浆期,灌浆期,-3.098152935,1.902862857,1.882380782,0,0,0
116,,,,0.07,2.152944484,100000,127.0782614,0,0,0,,1.006666667,1.010169492,0,0.216729745,0.217483884,0.4,,灌浆期,灌浆期,-3.428152935,1.356133112,1.334896898,0.07,0.07,0.07
117,,1,1,0,1.848907078,100000,141.2749231,0,0,0,,1,1.003389831,0,0.184890708,0.185517456,0.4,,灌浆期,灌浆期,-3.828152935,1.771242404,1.749379442,0,1,1
118,,,,0,3.09503096,100000,155.587654,0,0,0,,0.993333333,0.996610169,0,0.307439742,0.308453933,0.4,,灌浆期,灌浆期,-4.228152935,1.063802662,1.040925509,0,0,0
119,,1,1,0,2.710818885,100000,169.7339688,0,0,0,,0.986666667,0.989830508,0,0.267467463,0.268325123,0.4,,灌浆期,灌浆期,-4.628152935,1.396335199,1.372600386,0,1,1
120,,1,1,0,2.997345485,100000,183.4313822,0,0,0,,0.98,0.983050847,0,0.293739857,0.294654302,0.4,,灌浆期,灌浆期,-5.028152935,1.702595341,1.677946084,0,1,1
121,,1,1,0,2.8278899,100000,196.3974087,0,0,0,,0.973333333,0.976271186,0,0.27524795,0.276078743,0.4,,灌浆期,灌浆期,-5.428152935,2.027347391,2.001867342,0,1,1
122,,1,1,0,2.676516319,100000,208.349563,0,0,0,,0.966666667,0.969491525,0,0.258729911,0.259485989,0.4,,灌浆期,灌浆期,-5.828152935,2.36861748,2.342381353,0,1,1
123,,1,1,0.15,1.606297154,100000,219.0053598,0,0,0,,0.96,0.962711864,0,0.154204527,0.154640133,0.4,,灌浆期,灌浆期,-6.078152935,2.964412953,2.93774122,0.15,1.15,1.15
124,,,,0,2.723653257,100000,228.0823137,0,0,0,,0.953333333,0.955932203,0,0.259654944,0.260362786,0.4,,灌浆期,灌浆期,-6.478152935,2.30475801,2.277378434,0,0,0
125,,,,0,2.935747229,100000,235.2979393,0,0,0,,0.946666667,0.949152542,0,0.277917404,0.278647195,0.4,,灌浆期,灌浆期,-6.878152935,1.626840605,1.59873124,0,0,0
